NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
SLC2A5	1	SLC2A5	
SLC2A7	1	SLC2A7	
CA6	1	CA6	
CORT	1	CORT	
TMEM201	1	TMEM201	
KRT16P1	1	KRT16P1	
TNPO1P2	1	TNPO1P2	
ALKBH5	1	ALKBH5	
NOS2P2	1	NOS2P2	
FLII	1	FLII	
SHMT1	1	SHMT1	
MIR33B	1	MIR33B	
YWHAEP2	1	YWHAEP2	
EVPLL	1	EVPLL	
MIEF2	1	MIEF2	
GID4	1	GID4	
FAM106A	1	FAM106A	
TOM1L2	1	TOM1L2	
DRC3	1	LRRC48	
TBC1D3P4	1	TBC1D3P4	
SMCR5	1	SMCR5	
SMCR8	1	SMCR8	
DRG2	1	DRG2	
LLGL1	1	LLGL1	
USP32P2	1	USP32P2	
SRP68P2	1	SRP68P2	
ATPAF2	1	ATPAF2	
SREBF1	1	SREBF1	
TOP3A	1	TOP3A	
MIR6778	1	MIR6778	
MIR6777	1	MIR6777	
LGALS9C	1	LGALS9C	
LINC02076	1	FLJ35934	
KRT17P2	1	KRT17P2	
KRT17P5	1	KRT17P5	
MYO15A	1	MYO15A	
NOC2L	1	NOC2L	
SAMD11	1	SAMD11	
CICP3	1	CICP3	
CICP7	1	CICP7	
PLEKHN1	1	PLEKHN1	
AGRN	1	AGRN	
FAM41C	1	FAM41C	
WBP1LP6	1	WBP1LP6	
WBP1LP7	1	WBP1LP7	
CICP27	1	CICP27	
LINC02593	1	AL645608.1	
KLHL17	1	KLHL17	
OR4G11P	1	OR4G11P	
OR4F5	1	OR4F5	
ISG15	1	ISG15	
TUBB8P11	1	TUBB8P11	
PERM1	1	PERM1	
OR4F29	1	OR4F29	
FAM87B	1	FAM87B	
HES4	1	HES4	
OR4F16	1	OR4F16	
PRDX1P1	1	TDPX2	
MPDZ	1	MPDZ	
